ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13206108,JG418668,09/10/2023 11:30:00 AM,0000X E RANDOLPH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SMALL RETAIL STORE,false,false,0111,001,42,32,04A,1176593,1901291,2023,09/18/2023 03:42:32 PM,41.884493583,-87.626980736,"(41.884493583, -87.626980736)"
13212506,JG426533,07/09/2023 12:00:00 PM,046XX W HARRISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,false,false,1131,011,24,25,07,1145648,1896955,2023,09/18/2023 03:41:36 PM,41.87323781,-87.740725405,"(41.87323781, -87.740725405)"
13206535,JG419134,09/10/2023 07:01:00 PM,086XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,GAS STATION,true,false,0632,006,6,44,15,1177802,1847510,2023,09/18/2023 03:42:32 PM,41.736886394,-87.624170849,"(41.736886394, -87.624170849)"
13206172,JG418831,09/10/2023 02:23:00 PM,045XX N MOBILE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,false,true,1622,016,38,15,04B,1133525,1929742,2023,09/18/2023 03:42:32 PM,41.963430371,-87.784465162,"(41.963430371, -87.784465162)"
13206512,JG419171,09/10/2023 07:52:00 PM,105XX S AVENUE N,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0432,004,10,52,15,1201184,1835583,2023,09/18/2023 03:42:32 PM,41.703597138,-87.538911382,"(41.703597138, -87.538911382)"
13207298,JG420168,09/10/2023 12:00:00 PM,024XX W BALMORAL AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,2011,020,40,4,11,1158901,1935782,2023,09/18/2023 03:42:32 PM,41.97952047,-87.690999081,"(41.97952047, -87.690999081)"
13205857,JG418538,09/10/2023 03:21:00 AM,051XX S AVERS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0822,008,23,62,14,1151575,1870186,2023,09/18/2023 03:42:32 PM,41.799665872,-87.719666474,"(41.799665872, -87.719666474)"
13206421,JG419176,09/10/2023 08:00:00 PM,023XX N OAK PARK AVE,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2512,025,36,18,08B,1130690,1915098,2023,09/18/2023 03:42:32 PM,41.923294923,-87.795226702,"(41.923294923, -87.795226702)"
13211975,JG425293,08/13/2023 01:00:00 PM,053XX S JUSTINE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0934,009,16,61,08B,1166911,1869320,2023,09/18/2023 03:41:36 PM,41.796975256,-87.663449772,"(41.796975256, -87.663449772)"
13206329,JG419156,09/10/2023 06:37:00 PM,040XX W CRYSTAL ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2534,025,37,23,06,1149180,1908031,2023,09/18/2023 03:42:32 PM,41.903563905,-87.727470467,"(41.903563905, -87.727470467)"
13206252,JG418910,09/10/2023 01:30:00 PM,079XX S COLFAX AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0422,004,7,46,07,1194897,1852754,2023,09/18/2023 03:42:32 PM,41.750872743,-87.561368735,"(41.750872743, -87.561368735)"
13206455,JG419167,09/10/2023 03:00:00 AM,048XX S LECLAIRE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0814,008,22,56,26,1143175,1872106,2023,09/18/2023 03:42:32 PM,41.805095094,-87.750424266,"(41.805095094, -87.750424266)"
13205679,JG418333,09/10/2023 02:35:00 AM,014XX N KILDARE AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,true,true,2534,025,36,23,04A,1147454,1909120,2023,09/18/2023 03:42:32 PM,41.906585509,-87.733782555,"(41.906585509, -87.733782555)"
13208333,JG421420,09/10/2023 08:30:00 AM,023XX N GREENVIEW AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1811,018,2,7,05,1165919,1915690,2023,09/18/2023 03:42:32 PM,41.924239814,-87.665765378,"(41.924239814, -87.665765378)"
13206019,JG418707,09/10/2023 12:15:00 PM,010XX W BELMONT AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,1924,019,44,6,08B,1168599,1921413,2023,09/18/2023 03:42:32 PM,41.93988633,-87.655751816,"(41.93988633, -87.655751816)"
13207518,JG420264,09/10/2023 12:45:00 AM,029XX N SHEFFIELD AVE,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1933,019,44,6,06,1169099,1919860,2023,09/18/2023 03:42:32 PM,41.935613969,-87.653959405,"(41.935613969, -87.653959405)"
13206549,JG419313,09/10/2023 10:33:00 PM,036XX W 26TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,1013,010,22,30,04A,1152705,1886489,2023,09/18/2023 03:42:32 PM,41.844381272,-87.715092209,"(41.844381272, -87.715092209)"
13206321,JG418735,09/10/2023 12:45:00 PM,021XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1225,012,27,28,08B,1162000,1898670,2023,09/18/2023 03:42:32 PM,41.877618436,-87.680641178,"(41.877618436, -87.680641178)"
13205760,JG418392,09/10/2023 05:58:00 AM,119XX S HARVARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0522,005,9,53,14,1176105,1825671,2023,09/18/2023 03:42:32 PM,41.676995279,-87.631040625,"(41.676995279, -87.631040625)"
13206632,JG419345,09/10/2023 11:50:00 PM,022XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1911,019,47,4,08B,1160365,1931835,2023,09/18/2023 03:42:32 PM,41.968659473,-87.685724821,"(41.968659473, -87.685724821)"
13206087,JG418839,09/10/2023 03:16:00 PM,118XX S UNION AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,false,false,0524,005,21,53,15,1173776,1826467,2023,09/18/2023 03:42:32 PM,41.679231408,-87.639541955,"(41.679231408, -87.639541955)"
13206579,JG419330,09/10/2023 11:49:00 PM,006XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1121,011,27,23,14,1154925,1904130,2023,09/18/2023 03:42:32 PM,41.892745919,-87.706472369,"(41.892745919, -87.706472369)"
13209916,JG418252,09/10/2023 01:42:00 AM,042XX W GLADYS AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,false,true,1132,011,28,26,04B,1148186,1898017,2023,09/18/2023 03:42:32 PM,41.8761036,-87.731379732,"(41.8761036, -87.731379732)"
